airport_name,iata_code,latitude,longitude,airport_code,airport_type
Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009,CYXT,medium_airport
Dawson City Airport,YDA,64.04309844970703,-139.1280059814453,CYDA,medium_airport
Kuujjuaq Airport,YVP,58.096099853515625,-68.4269027709961,CYVP,medium_airport
Mont Joli Airport,YYY,48.60860061645508,-68.20809936523438,CYYY,medium_airport
Wabush Airport,YWK,52.92190170288086,-66.8644027709961,CYWK,medium_airport
Summerside Airport,YSU,46.440601,-63.833599,CYSU,medium_airport
Vernon Regional Airport,YVE,50.246163,-119.330963,CYVK,medium_airport
Peace River Airport,YPE,56.226898,-117.446999,CYPE,medium_airport
Quesnel Airport,YQZ,53.026100158691406,-122.51000213623048,CYQZ,medium_airport
CFB Cold Lake,YOD,54.40499877929688,-110.27899932861328,CYOD,medium_airport
Slave Lake Airport,YZH,55.292945,-114.777276,CYZH,medium_airport
Dawson Creek Airport,YDQ,55.741245,-120.183263,CYDQ,medium_airport
Red Lake Airport,YRL,51.06689834594727,-93.79309844970705,CYRL,medium_airport
The Pas Airport,YQD,53.97140121459961,-101.09100341796876,CYQD,medium_airport
Portage-la-Prairie / Southport Airport,YPG,49.903099,-98.273817,CYPG,medium_airport
Earlton (Timiskaming Regional) Airport,YXR,47.6974006546,-79.8473453522,CYXR,medium_airport
Marathon Airport,YSP,48.75529861450195,-86.34439849853516,CYSP,medium_airport
Rocky Mountain House Airport,YRM,52.4296989441,-114.903999329,CYRM,small_airport
Chapais Airport,YMT,49.77190017700195,-74.5280990600586,CYMT,medium_airport
La Ronge Airport,YVC,55.1514015198,-105.262001038,CYVC,medium_airport
Williams Lake Airport,YWL,52.1831016541,-122.054000854,CYWL,medium_airport
Yorkton Municipal Airport,YQV,51.26470184326172,-102.46199798583984,CYQV,medium_airport
Port Hawkesbury Airport,YPS,45.6567001343,-61.3680992126,CYPD,medium_airport
Shuswap Regional Airport,YSN,50.682802,-119.228996,CZAM,medium_airport
Manitoulin East Municipal Airport,YEM,45.842435,-81.857595,CYEM,medium_airport
Swift Current Airport,YYN,50.2919006348,-107.691001892,CYYN,medium_airport
Merritt Airport,YMB,50.122504,-120.745368,CAD5,small_airport
Dauphin Barker Airport,YDN,51.1008,-100.052002,CYDN,medium_airport
Hay River / Merlyn Carter Airport,YHY,60.8396987915,-115.782997131,CYHY,medium_airport
Moosonee Airport,YMO,51.29109954833984,-80.60780334472656,CYMO,medium_airport
Norman Wells Airport,YVQ,65.28160095214844,-126.7979965209961,CYVQ,medium_airport
CFB Greenwood,YZX,44.98440170288086,-64.91690063476562,CYZX,medium_airport
Edson Airport,YET,53.5788993835,-116.464996338,CYET,medium_airport
Geraldton Greenstone Regional Airport,YGQ,49.77830123901367,-86.93939971923828,CYGQ,medium_airport
Pincher Creek Airport,WPC,49.520429,-113.997002,CZPC,medium_airport
Flin Flon Airport,YFO,54.678101,-101.681999,CYFO,small_airport
Lac La Biche Airport,YLB,54.7703018188,-112.031997681,CYLB,small_airport
Maniwaki Airport,YMW,46.2728,-75.990601,CYMW,small_airport
Squamish Airport,YSE,49.7817001343,-123.162002563,CYSE,small_airport
Baie-Comeau Airport,YBC,49.1325,-68.204399,CYBC,medium_airport
Fort Chipewyan Airport,YPY,58.7672004699707,-111.11699676513672,CYPY,medium_airport
Michel-Pouliot Gaspé Airport,YGP,48.774915,-64.481893,CYGP,medium_airport
Sioux Lookout Airport,YXL,50.11389923095703,-91.9052963256836,CYXL,medium_airport
Whitecourt Airport,YZU,54.143902,-115.787003,CYZU,medium_airport
North Battleford Airport,YQW,52.769409,-108.243742,CYQW,medium_airport
Rivière-du-Loup Airport,YRI,47.76440048217773,-69.58470153808594,CYRI,medium_airport
Yarmouth Airport,YQI,43.82690048217773,-66.08809661865234,CYQI,medium_airport
Sandspit Airport,YZP,53.25429916379999,-131.813995361,CYZP,medium_airport
Schefferville Airport,YKL,54.805301666259766,-66.8052978515625,CYKL,medium_airport
Bathurst Airport,ZBF,47.6297,-65.738899,CZBF,medium_airport
Stony Rapids Airport,YSF,59.250301361083984,-105.84100341796876,CYSF,medium_airport
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,50.330299377441406,-105.55899810791016,CYMJ,medium_airport
Gimli Industrial Park Airport,YGM,50.62810134887695,-97.04329681396484,CYGM,medium_airport
Fond-du-Lac Airport,ZFD,59.3344,-107.181999,CZFD,small_airport
Dease Lake Airport,YDL,58.422199,-130.031998,CYDL,small_airport
Cambridge Bay Airport,YCB,69.1081008911,-105.138000488,CYCB,medium_airport
Fort Frances Municipal Airport,YAG,48.655749,-93.44349,CYAG,medium_airport
Fort Simpson Airport,YFS,61.76020050048828,-121.23699951171876,CYFS,medium_airport
Kapuskasing Airport,YYU,49.411587,-82.469645,CYYU,medium_airport
Îles-de-la-Madeleine Airport,YGR,47.425242,-61.778612,CYGR,medium_airport
St. Anthony Airport,YAY,51.391909,-56.08321,CYAY,medium_airport
Mont-Tremblant International Airport,YTM,46.409401,-74.779999,CYFJ,medium_airport
Miramichi Airport,YCH,47.007801,-65.449203,CYCH,medium_airport
Alert Airport,YLT,82.517799,-62.280602,CYLT,medium_airport
Attawapiskat Airport,YAT,52.927502,-82.4319,CYAT,small_airport
Alberni Valley Regional Airport,YPB,49.321899,-124.931,CBS8,small_airport
Courtenay Airpark,YCA,49.679237,-124.98064,CAH3,small_airport
Baker Lake Airport,YBK,64.29889678960001,-96.077796936,CYBK,medium_airport
La Grande Rivière Airport,YGL,53.625301361083984,-77.7042007446289,CYGL,medium_airport
Pickle Lake Airport,YPL,51.4463996887207,-90.21420288085938,CYPL,medium_airport
Bonnyville Airport,YBY,54.304199,-110.744003,CYBF,medium_airport
Charlo Airport,YCL,47.990799,-66.330299,CYCL,medium_airport
Hearst René Fontaine Municipal Airport,YHF,49.71419906616211,-83.68609619140625,CYHF,medium_airport
Fort Good Hope Airport,YGH,66.240658,-128.647757,CYGH,small_airport
Wollaston Lake Airport,ZWL,58.106899,-103.171997,CZWL,small_airport
Banff Airport,YBA,51.208222,-115.540624,CYBA,small_airport
Jasper-Hinton Airport,YJP,53.319199,-117.752998,CEC4,small_airport
Masset Airport,ZMT,54.0275,-132.125,CZMT,medium_airport
Resolute Bay Airport,YRB,74.7169036865,-94.9693984985,CYRB,medium_airport
Swan River Airport,ZJN,52.120602,-101.236,CZJN,medium_airport
Rimouski Airport,YXK,48.477644,-68.496323,CYXK,medium_airport
Chapleau Airport,YLD,47.81999969482422,-83.3467025756836,CYLD,medium_airport
Charlevoix Airport,YML,47.59749984741211,-70.2238998413086,CYML,medium_airport
