airport_name,iata_code,latitude,longitude,airport_code,airport_type
Tasiujaq Airport,YTQ,58.667801,-69.955803,CYTQ,small_airport
Tête-à-la-Baleine Airport,ZTB,50.67440032958984,-59.38359832763672,CTB6,small_airport
Umiujaq Airport,YUD,56.536098,-76.518303,CYMU,small_airport
Kégashka Airport,ZKG,50.195801,-61.2658,CTK6,small_airport
Natuashish Airport,YNP,55.913898,-61.184399,CNH2,small_airport
Wekweètì Airport,YFJ,64.190804,-114.077002,CYWE,small_airport
Bob Quinn Lake Airport,YBO,56.966702,-130.25,CBW4,small_airport
Cowley Airport,YYM,49.6363983154,-114.09400177,CYYM,small_airport
Diavik Airport,DVK,64.5113983154,-110.289001465,CDK2,small_airport
Fort McMurray / Mildred Lake Airport,NML,57.0555992126,-111.573997498,CER4,small_airport
Hudson Bay Airport,YHB,52.8166999817,-102.310997009,CYHB,small_airport
Jasper Airport,YJA,52.996418,-118.060233,CYJA,small_airport
Dean River Airport,YRD,52.82371,-126.964957,YRD,small_airport
Kirby Lake Airport,KFM,55.355598,-110.637001,CRL4,small_airport
Laurie River Airport,LRQ,56.2486000061,-101.304000854,CJC8,small_airport
Lebel-sur-Quevillon Airport,YLS,49.0303001404,-77.0171966553,CSH4,small_airport
Pinehouse Lake Airport,ZPO,55.5280990601,-106.582000732,CZPO,small_airport
Taltheilei Narrows Airport,GSL,62.5980987549,-111.542999268,CFA7,small_airport
Tisdale Airport,YTT,52.836700439453,-104.06700134277,CJY3,small_airport
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,YSI,45.173302,-80.137497,CPS9,seaplane_base
Alpine Heliport,CBA,49.8636,-119.568045,CAB7,heliport
Whistler/Green Lake Water Aerodrome,YWS,50.1436004639,-122.948997498,CAE5,seaplane_base
Ross River Airport,XRR,61.9706001282,-132.42300415,CYDM,medium_airport
Aupaluk Airport,YPJ,59.2967,-69.599701,CYLA,small_airport
Kimmirut Airport,YLC,62.848253,-69.877853,CYLC,small_airport
Mary's Harbour Airport,YMH,52.302837,-55.847433,CYMH,small_airport
Port Hope Simpson Airport,YHA,52.528099060058594,-56.28609848022461,CCP4,small_airport
Quaqtaq Airport,YQC,61.046398,-69.617798,CYHA,small_airport
Rigolet Airport,YRG,54.1796989440918,-58.45750045776367,CCZ2,small_airport
Summer Beaver Airport,SUR,52.70859909057617,-88.54190063476562,CJV7,small_airport
Whatì Airport,YLE,63.13169860839844,-117.24600219726562,CEM3,small_airport
Williams Harbour Airport,YWM,52.567377,-55.784883,CCA6,small_airport
Charlottetown Airport,YHG,52.765774,-56.11237,CCH4,small_airport
Port McNeill Airport,YMP,50.57348,-127.027702,CAT5,small_airport
Postville Airport,YSO,54.9105,-59.78507,CCD4,small_airport
Cheadle Airport,TIL,51.057498931885,-113.62400054932,CFQ4,small_airport
Bar River Airport,YEB,46.421233,-84.096478,CPF2,small_airport
Fontanges Airport,YFG,54.553901672363,-71.173301696777,CTU2,small_airport
Great Bear Lake Airport,DAS,66.703053,-119.716816,CFF4,small_airport
Donaldson Airport,YAU,61.6622009277,-73.3214035034,CTP9,small_airport
Gahcho Kue,GHK,63.435198,-109.144812,CGK2,small_airport
La Sarre Airport,SSQ,48.917198181152,-79.178596496582,CSR8,small_airport
Opapimiskan Lake Airport,YBS,52.6067008972,-90.3768997192,CKM8,small_airport
Sable Island Landing Strip,YSA,43.930951,-59.996147,CSB2,small_airport
Saglek Airport,YSV,58.474312,-62.653999,CA-0322,small_airport
Snap Lake Airport,YNX,63.593601,-110.905998,CSK6,small_airport
Tungsten (Cantung) Airport,TNS,61.956901550293,-128.20300292969,CBX5,small_airport
Chute-Des-Passes/Lac Margane Seaplane Base,YWQ,49.9434,-71.138,CTM3,seaplane_base
Mayne Island Seaplane Base,YAV,48.852241,-123.301982,CAW7,seaplane_base
Rivers Inlet Seaplane Base,YRN,51.683985,-127.264044,CAU8,seaplane_base
Ganges Seaplane Base,YGG,48.8545,-123.4969,CAX6,seaplane_base
Sullivan Bay Seaplane Base,YTG,50.885359,-126.831069,CAV5,seaplane_base
Tahsis Seaplane Base,ZTS,49.92,-126.655,CAL9,seaplane_base
Klemtu Water Aerodrome,YKT,52.6076345452,-128.521757126,YKT,seaplane_base
Telegraph Harbour Seaplane Base,YBQ,48.97,-123.664,YBQ,seaplane_base
Jenpeg Airport,ZJG,54.51890182495117,-98.0460968017578,CZJG,medium_airport
Leaf Rapids Airport,YLR,56.513301849365234,-99.98529815673828,CYLR,medium_airport
Tommy Kochon Airport,YCK,67.02,-126.126,CYVL,small_airport
Stuart Island Airstrip,YRR,50.409447,-125.131617,CA-0446,small_airport
Opinaca Aerodrome,YOI,52.221944,-76.611944,YOI,small_airport
Hatchet Lake Airport,YDJ,58.662498474121,-103.53800201416,CJL2,small_airport
Doris Lake,JOJ,68.1252746582,-106.585281372,CDL7,small_airport
Hope Bay Aerodrome,UZM,68.156,-106.618,UZM,small_airport
Hudson's Hope Airport,YNH,56.035142,-121.978326,CYNH,small_airport
Kasba Lake Airport,YDU,60.291900634766,-102.50199890137,CJL8,small_airport
Knee Lake Airport,YKE,54.915298,-94.798103,CJT3,small_airport
La Grande-3 Airport,YAR,53.5717010498,-76.19640350339999,CYAD,small_airport
Mingan Airport,YLP,50.2869,-64.1528,YLP,small_airport
Macmillan Pass Airport,XMP,63.181098938,-130.20199585,CFC4,small_airport
Mary River Aerodrome,YMV,71.324167,-79.356944,CA-0504,small_airport
North of Sixty Airport,YDW,60.316398620605,-103.12899780273,CKV4,small_airport
Primrose Airport,PFM,55.390002,-111.1198,CA-0297,small_airport
Bamfield Seaplane Base,YBF,48.835967,-125.137453,CAE9,seaplane_base
Bedwell Harbour Seaplane Base,YBW,48.75,-123.233001709,CAB3,seaplane_base
Bella Bella/Shearwater Seaplane Base,YSX,52.150002,-128.08299,CAW8,seaplane_base
Campbell River Seaplane Base,YHH,50.049999,-125.25,CAE3,seaplane_base
Fort Reliance Seaplane Base,YFL,62.7,-109.167,CJN8,seaplane_base
Hartley Bay Seaplane Base,YTB,53.416698,-129.25,CAY4,seaplane_base
Kitkatla Seaplane Base,YKK,53.7999992371,-130.432998657,CAP7,seaplane_base
Mansons Landing Seaplane Base,YMU,50.07137,-124.98362,CAV7,seaplane_base
Ocean Falls Seaplane Base,ZOF,52.3666992188,-127.717002869,CAH2,seaplane_base
Powell Lake Seaplane Base,WPL,49.887335,-124.53372,CAQ8,seaplane_base
Queen Charlotte City Seaplane Base,ZQS,53.25282,-132.074214,CAQ6,seaplane_base
Canadian Forces Base Suffield Heliport,YSD,50.276359,-111.180189,CYSD,heliport
Big Bay Seaplane Base,YIG,50.3923,-125.1372,CAF6,seaplane_base
Pender Harbour Seaplane Base,YPT,49.623785,-124.024884,CAG8,seaplane_base
White River Seaplane Base,YWR,48.6269,-85.223297,CNJ8,seaplane_base
Baie-Johan-Beetz Water Aerodrome,YBJ,50.283745,-62.81004,YBJ,seaplane_base
Blubber Bay Seaplane Base,XBB,49.793958,-124.621064,XBB,seaplane_base
Greenway Sound Seaplane Base,YGN,50.839,-126.775,YGN,seaplane_base
Bull Harbour Water Aerodrome,YBH,50.9179,-127.9372,YBH,seaplane_base
Cortes Bay Water Aerodrome,YCF,50.063,-124.930002,YCF,seaplane_base
Refuge Cove Seaplane Base,YRC,50.1234,-124.843,YRC,seaplane_base
Silva Bay Seaplane Base,SYF,49.151,-123.698,SYF,seaplane_base
Montague Harbour Seaplane Base,YMF,48.89225,-123.39215,CA-0923,seaplane_base
Gorge Harbour Seaplane Base,YGE,50.0994,-125.0235,YGE,seaplane_base
Hakai Passage Water Aerodrome,YHC,51.669733,-128.08181,CA-0841,seaplane_base
Maple Bay Seaplane Base,YAQ,48.8167,-123.6084,YAQ,seaplane_base
Namu Water Aerodrome,ZNU,51.862825,-127.869357,ZNU,seaplane_base
April Point Seaplane Base,YQJ,50.065,-125.235,YQJ,seaplane_base
Lyall Harbour Seaplane Base,YAJ,48.795274,-123.181801,YAJ,seaplane_base
